鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市宜興路三段,34.45,住,,,1100731,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.96,2,2,2,有,無,7660000,63695,坡道平面,31.4,1000000,,RPOPMLOLQHGGFBG28DB,歡喜家園.20
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路五段,79.18,住,,,1100726,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,157.94,4,2,3,有,無,9400000,59516,,0.0,0,,RPROMLOLQHGGFBG38CB,新生天下
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路五段,89.94,住,,,1100726,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,141.77,4,2,3,有,無,9000000,63483,,0.0,0,,RPSOMLOLQHGGFBG48CB,新生天下
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路五段,108.25,住,,,1100726,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,2,3,有,無,10880000,58495,,0.0,0,,RPPNMLPLQHGGFBG18CB,新生天下
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路五段,90.12,住,,,1100728,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,141.77,4,2,3,有,無,9000000,63483,,0.0,0,,RPQNMLPLQHGGFBG28CB,新生天下
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路五段,82.63,住,,,1100729,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.18,4,2,3,有,無,9400000,55892,,0.0,0,,RPRNMLPLQHGGFBG38CB,新生天下
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市中山路五段,21.43,住,,,1100714,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.14,2,1,1,有,無,5180000,64477,坡道平面,40.0,980000,,RPQNMLPLQHGGFBG38DB,二代知筑
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市環市東路2段275號,103.35,農,,,1100820,土地3建物1車位0,全,3,透天厝,住家用,鋼骨鋼筋混凝土造,,169.41,4,2,3,有,無,13880000,81931,,0.0,0,,RPSNMLPLQHGGFBG58DB,高第8
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市慈航二路,45.24,,特定農業區,甲種建築用地,1100802,土地4建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.79,3,2,2,有,無,8500000,70967,一樓平面,24.88,700000,,RPQOMLPLQHGGFBG48DB,藏睿
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉三結二路85巷,34.86,,特定農業區,甲種建築用地,1100813,土地2建物1車位2,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,150.81,3,2,2,有,無,7500000,66704,一樓平面,60.86,1500000,,RPSNMLPLQHGGFAG38CB,寬院子NO.5
