編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLTJOHGGFAP76EA,1,74.99,集合住宅,鋼筋混凝土造,109年11月16日,五層,三層 陽台
RPSNMLTJOHGGFAP76EA,1,21.51,公設停車空間,鋼筋混凝土造,109年11月16日,五層,
RPSNMLTJOHGGFAP76EA,1,17.91,公設樓梯間、公設水箱、公設電梯機械室,鋼筋混凝土造,109年11月16日,五層,
RPPOMLPKOHGGFAP88EA,14,225.91,住宅、停車空間,鋼筋混凝土造,96年3月20日,四層,一層 二層 三層 四層 陽台 電梯樓梯間 雨遮
RPPNMLOKOHGGFFP09DA,1,168.03,住宅,ＲＣ造,109年10月15日,三層,一層 二層 三層 陽台
RPRNMLKKOHGGFAP48EA,28,171.40,住家用,鋼筋混凝土造,82年1月10日,三層,一層 二層 三層 陽台 電梯樓梯間
RPQNMLKKOHGGFAP38EA,42,151.98,住商用,鋼筋混凝土加強磚造,68年3月13日,二層,一層 二層 騎樓 電梯樓梯間
RPQNMLLKOHGGFFP88DA,1,161.99,住宅,ＲＣ造,109年10月15日,三層,一層 二層 三層 陽台
RPPNMLOKOHGGFDP88DA,27,.68,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLOKOHGGFDP88DA,27,17.61,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLOKOHGGFDP88DA,27,2.60,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLOKOHGGFDP88DA,27,3.79,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLOKOHGGFDP88DA,27,3.08,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLOKOHGGFDP88DA,27,2.70,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLOKOHGGFDP88DA,27,3.83,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLOKOHGGFDP88DA,27,98.65,住家用,鋼筋混凝土造,83年3月17日,十三層,九層 陽台
RPRNMLMJOHGGFDP78DA,14,21.61,集合住宅,鋼筋混凝土造,96年2月5日,十三層,七層 陽台
RPRNMLMJOHGGFDP78DA,14,9.04,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPRNMLMJOHGGFDP78DA,14,1.55,走廊,鋼筋混凝土造,96年2月5日,十三層,
RPRNMLLKOHGGFBP58DA,29,125.91,住家用,鋼筋混凝土造,81年7月11日,二層,一層 二層 電梯樓梯間
RPTOMLPJNHGGFBP09DA,,110.37,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPUOMLPJNHGGFBP56DA,,110.58,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPWOMLPJNHGGFBP76DA,,115.83,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPVOMLPJNHGGFBP66DA,,110.37,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPXOMLPJNHGGFBP86DA,,119.62,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPOPMLPJNHGGFBP68DA,,117.83,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPTNMLRLNHGGFAP66DA,4,147.83,住宅、門廊,鋼筋混凝土造,106年4月27日,二層,一層 二層 陽台 見其他登記事項
RPUOMLSLNHGGFAP96DA,33,120.82,住家用,鋼筋混凝土造,77年9月20日,三層,一層 二層 三層
RPSOMLPJNHGGFBP98DA,,112.59,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPSNMLKKOHGGFAP48DA,1,163.90,住家用,鋼筋混凝土造,109年5月31日,三層,一層 二層 三層 陽台
RPTOMLLLNHGGFAP78DA,22,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層 陽台
RPTOMLLLNHGGFAP78DA,22,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPTOMLLLNHGGFAP78DA,22,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPQOMLKKOHGGFAP38DA,2,100.38,集合住宅,鋼筋混凝土造,108年10月18日,五層,四層 陽台
RPQOMLKKOHGGFAP38DA,2,35.99,機械室、停車空間、樓梯間,鋼筋混凝土造,108年10月18日,五層,
RPUNMLPKOHGGFAP56DA,42,56.27,,加強磚造,68年9月26日,二層,一層 二層 騎樓
RPUNMLPKOHGGFAP56DA,42,56.27,,加強磚造,68年9月26日,二層,一層 二層 騎樓
RPOOMLPKOHGGFAP68DA,2,270.92,住家用,鋼筋混凝土造,108年9月20日,四層,一層 二層 三層 四層 陽台
RPOOMLPKOHGGFAP68DA,2,129.60,停車空間,鋼筋混凝土造,108年9月20日,四層,
RPXNMLPKOHGGFAP86DA,39,91.04,住家用,加強磚造,70年12月18日,二層,一層 二層 電梯樓梯間
RPVNMLPKOHGGFAP66DA,3,209.78,住家用,鋼筋混凝土造,107年11月9日,四層,一層 二層 三層 四層 陽台
RPTNMLQKOHGGFAP56DA,40,81.32,農舍,雜項造,70年9月14日,一層,一層
RPQPMLPJNHGGFBP88DA,,124.10,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPPPMLPJNHGGFBP78DA,,117.83,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPPNMLOKOHGGFCP78DA,41,295.94,農舍,加強磚造,69年2月29日,二層,一層 二層
RPUNMLQKOHGGFCP86DA,1,167.33,住家用,鋼筋混凝土造,109年1月9日,三層,一層 二層 三層 陽台
RPQNMLKKOHGGFBP38DA,27,239.36,住商用,鋼筋混凝土造,83年8月30日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPQNMLOJOHGGFDP88DA,14,21.93,集合住宅,鋼筋混凝土造,96年2月5日,十三層,十層 陽台
RPQNMLOJOHGGFDP88DA,14,8.56,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPRNMLOLNHGGFDP09DA,18,144.20,住家用,鋼筋混凝土造,92年3月13日,三層,一層 二層 三層
RPROMLPKOHGGFDP66DA,26,50.81,住家用,鋼筋混凝土造,84年9月21日,七層,五層 陽台 電梯樓梯間
RPROMLPKOHGGFDP66DA,26,4.93,共同部份,鋼筋混凝土造,84年9月21日,七層,
RPROMLPKOHGGFDP66DA,26,3.45,共同部份,鋼筋混凝土造,84年9月21日,七層,
RPVNMLQLNHGGFDP07DA,22,44.19,住家用,鋼筋混凝土造,88年7月30日,十四層,六層 陽台
RPVNMLQLNHGGFDP07DA,22,44.19,住家用,鋼筋混凝土造,88年7月30日,十四層,六層 陽台
RPVNMLQLNHGGFDP07DA,22,16.14,共同部份,鋼筋混凝土造,88年7月30日,十四層,
RPVNMLQLNHGGFDP07DA,22,16.14,共同部份,鋼筋混凝土造,88年7月30日,十四層,
RPVNMLQLNHGGFDP07DA,22,.93,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPVNMLQLNHGGFDP07DA,22,.93,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPVNMLQLNHGGFDP07DA,22,5.36,樓，電梯間（共同使用）,鋼筋混凝土造,88年7月30日,十四層,
RPVNMLQLNHGGFDP07DA,22,5.36,樓，電梯間（共同使用）,鋼筋混凝土造,88年7月30日,十四層,
RPPOMLRKOHGGFAP09EA,,214.78,店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,108年9月24日,三層,一層 二層 三層 陽台 屋頂突出物
RPWNMLRKOHGGFAP07EA,2,180.01,住宅、樓梯間,鋼筋混凝土造,108年9月16日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLPKOHGGFAP88EA,26,183.94,農舍,加強磚造,83年1月15日,一層,一層
RPSNMLQKOHGGFFP07EA,37,139.82,國民住宅,加強磚造,73年6月6日,二層,一層 二層 陽台 騎樓
RPOOMLRKOHGGFAP98EA,,305.86,店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,108年9月24日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPRNMLRKOHGGFCP76EA,4,189.66,騎樓、住宅、樓梯間,鋼筋混凝土造,106年7月2日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQOMLRKOHGGFAP56EA,,214.78,店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,108年9月24日,三層,一層 二層 三層 陽台 屋頂突出物
RPSOMLQKOHGGFAP66EA,1,1.93,停車空間,鋼筋混凝土造,109年7月3日,五層,
RPSOMLQKOHGGFAP66EA,1,24.14,管委會空間、昇降機、甲梯、乙梯、梯廳、廁所、機電設備空間、水塔間,鋼筋混凝土造,109年7月3日,五層,
RPSOMLQKOHGGFAP66EA,1,73.83,住家用,鋼筋混凝土造,109年7月3日,五層,四層 陽台
RPQOMLQKOHGGFAP09EA,29,118.19,住家用,鋼筋混凝土造,81年4月15日,五層,二層 陽台
RPQOMLQKOHGGFAP09EA,29,38.21,共同部份,鋼筋混凝土造,81年4月15日,五層,
RPQOMLQKOHGGFAP09EA,29,10.26,共同部份,鋼筋混凝土造,81年4月15日,五層,
RPTNMLRKOHGGFDP96DA,1,20.03,本共有部分之項目有停車空間、管理委員會空間、走廊、梯廳、樓梯間、昇降機間、機房、水箱、防空避難室兼停車空間等９項,鋼筋混凝土造,109年5月19日,十層,
RPTNMLRKOHGGFDP96DA,1,41.58,集合住宅,鋼筋混凝土造,109年5月19日,十層,二層 陽台
RPPNMLNJNHGGFDP58DA,40,110.70,住家用,加強磚造,70年6月15日,二層,一層 二層 陽台
RPUNMLKKOHGGFAP68DA,46,114.41,住家用,ＲＣ構架磚,64年6月5日,二層,一層 二層 騎樓
SPTNMLRKOHGGFDP07DA,1,19.73,本共有部分之項目有停車空間、管理委員會空間、走廊、梯廳、樓梯間、昇降機間、機房、水箱、防空避難室兼停車空間等９項,鋼筋混凝土造,109年5月19日,十層,
SPTNMLRKOHGGFDP07DA,1,41.16,集合住宅,鋼筋混凝土造,109年5月19日,十層,二層 陽台
RPRNMLRKOHGGFAP09DA,26,174.71,住家用,鋼筋混凝土造,84年2月12日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPQOMLLKOHGGFAP48DA,3,166.61,住宅、門廊,鋼筋混凝土造,107年2月27日,二層,一層 二層 陽台
RPPNMLSKOHGGFAP98DA,42,106.72,住商用,加強磚造,68年8月27日,二層,一層 二層 騎樓 電梯樓梯間
RPTNMLRKOHGGFAP66DA,4,197.06,住家用,鋼筋混凝土造,106年6月7日,四層,一層 二層 三層 四層 陽台
RPTNMLSKOHGGFAP76DA,37,139.84,住家用,鋼筋混凝土加強磚造,73年1月4日,二層,一層 二層 騎樓
RPSNMLQKOHGGFAP09DA,26,240.78,住商用,鋼筋混凝土造,84年9月1日,四層,一層 二層 三層 四層 陽台 騎樓 電梯樓梯間
RPSOMLPKOHGGFAP09DA,27,84.11,住家用,鋼筋混凝土造,83年1月5日,十一層,六層 陽台
RPSOMLPKOHGGFAP09DA,27,8.86,停車空間,鋼筋混凝土造,83年1月5日,十一層,地下層
RPSOMLPKOHGGFAP09DA,27,11.47,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPSOMLPKOHGGFAP09DA,27,9.86,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPQNMLNKOHGGFAP58DA,,89.88,住家用,鋼筋混凝土造,109年11月8日,三層,一層 二層 三層 陽台
RPQNMLNKOHGGFAP58DA,,89.88,住家用,鋼筋混凝土造,109年11月8日,三層,一層 二層 三層 陽台
RPPOMLNLKHGGFBP38DA,,20.86,共同部份,鋼筋混凝土造,109年12月24日,八層,
RPPOMLNLKHGGFBP38DA,,54.09,集合住宅,鋼筋混凝土造,109年12月24日,八層,五層 陽台
RPVOMLNLKHGGFBP98DA,,20.86,共同部份,鋼筋混凝土造,109年12月24日,八層,
RPVOMLNLKHGGFBP98DA,,54.09,集合住宅,鋼筋混凝土造,109年12月24日,八層,六層 陽台
RPOOMLSKOHGGFDP66DA,,191.23,住家用,鋼筋混凝土造,110年5月7日,三層,一層 二層 三層 陽台
RPSOMLPKOHGGFDP76DA,,183.25,住宅、樓梯間,鋼筋混凝土造,110年2月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLSKNHGGFDP17DA,25,106.75,住家用,鋼筋混凝土造,85年3月9日,十三層,七層 陽台
RPVNMLSKNHGGFDP17DA,25,19.58,共同部份,鋼筋混凝土造,85年3月9日,十三層,
RPVNMLSKNHGGFDP17DA,25,10.08,共同部份,鋼筋混凝土造,85年3月9日,十三層,
RPPOMLSKOHGGFDP76DA,,191.23,住家用,鋼筋混凝土造,110年5月7日,三層,一層 二層 三層 陽台
RPRNMLLKOHGGFDP78DA,18,167.40,住宅、停車空間,鋼筋混凝土造,92年4月29日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKOHGGFDP66DA,27,30.25,共同部份,鋼筋混凝土造,83年4月9日,八層,
RPPNMLSKOHGGFDP66DA,27,65.63,住家用,鋼筋混凝土造,83年4月9日,八層,六層 陽台
RPPNMLNKOHGGFAP48DA,,82.63,住家用,鋼筋混凝土造,109年11月8日,三層,一層 二層 三層 陽台
RPPNMLNKOHGGFAP48DA,,82.63,住家用,鋼筋混凝土造,109年11月8日,三層,一層 二層 三層 陽台
RPSNMLMJOHGGFDP88DA,14,9.12,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPSNMLMJOHGGFDP88DA,14,21.93,集合住宅,鋼筋混凝土造,96年2月5日,十三層,七層 陽台
RPSNMLMJOHGGFDP88DA,14,1.48,走廊,鋼筋混凝土造,96年2月5日,十三層,
RPQNMLSKOHGGFEP86DA,41,56.41,住商用,加強磚造,69年8月1日,三層,一層 二層 三層 騎樓
RPPNMLOKOHGGFEP98DA,,212.43,住宅、樓梯間,鋼筋混凝土造,110年1月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPRNMLLLOHGGFCP88EA,6,205.49,住家用,鋼筋混凝土造,104年6月16日,四層,一層 二層 三層 四層 陽台
RPRNMLLLOHGGFCP88EA,6,205.49,住家用,鋼筋混凝土造,104年6月16日,四層,一層 二層 三層 四層 陽台
RPWNMLLLOHGGFCP76EA,,172.99,住宅、樓梯間,鋼筋混凝土造,109年11月27日,三層,陽台 見其他登記事項
RPPNMLMLOHGGFDP88EA,3,169.35,住家用,鋼筋混凝土造,107年1月22日,三層,一層 二層 三層 陽台
RPVNMLLLOHGGFCP66EA,29,151.33,住家用,鋼筋混凝土造,81年4月3日,四層,一層 二層 三層 四層
RPUNMLLLOHGGFCP56EA,27,75.44,住商用,鋼筋混凝土造,83年10月26日,三層,一層 二層 三層 騎樓
RPUNMLLLOHGGFCP56EA,27,75.44,住商用,鋼筋混凝土造,83年10月26日,三層,一層 二層 三層 騎樓
RPQNMLMLOHGGFCP88EA,6,157.15,住宅、停車空間,鋼筋混凝土造,104年11月12日,三層,一層 二層 三層 陽台 見其他登記事項
RPRNMLMLOHGGFCP98EA,42,198.52,住商用,加強磚造,67年12月30日,二層,一層 二層 騎樓
RPSNMLMLOHGGFCP09EA,2,131.71,住家用,鋼筋混凝土造,108年2月11日,三層,一層 二層 三層 陽台
RPUNMLRKOHGGFAP86EA,22,6745.00,辦公室、宿舍,鋼筋混凝土造,87年11月25日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 地下層 見其他登記事項
RPUNMLRKOHGGFAP86EA,21,16007.10,廠房、機械設備室,鋼筋混凝土造,88年5月31日,五層,一層 二層 三層 四層 五層 水箱 機械房 地下層
RPUNMLRKOHGGFAP86EA,21,4615.05,工業用,鋼筋混凝土造,88年9月15日,二層,一層 二層 電梯樓梯間 地下層 見其他登記事項
RPUNMLRKOHGGFAP86EA,21,832.85,廢水處理池、機械室、控制室,鋼筋混凝土造,88年8月28日,二層,一層 二層 地下層
RPUNMLRKOHGGFAP86EA,21,10593.73,工業用,ＳＣ造,88年9月10日,六層,一層 二層 三層 四層 五層 六層 電梯樓梯間 夾層 地下層
RPUNMLRKOHGGFAP86EA,15,690.62,污水處理。,鋼筋混凝土造,94年9月4日,一層,一層 地下層
RPUNMLRKOHGGFAP86EA,11,592.54,廠房、機械室,鋼骨造、ＲＣ造,98年4月15日,一層,見其他登記事項
RPTOMLPKOHGGFDP86DA,,190.26,住宅、樓梯間,鋼筋混凝土造,110年2月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLRKOHGGFDP56DA,3,168.80,住家用,鋼筋混凝土造,106年11月21日,三層,一層 二層 三層 陽台
RPQNMLLLOHGGFCP68DA,14,178.25,店舖、辦公室,鋼筋混凝土造,96年2月9日,八層,一層 二層 三層 陽台 騎樓
RPQNMLLLOHGGFCP68DA,14,31.22,共同部份,鋼筋混凝土造,96年2月9日,地下層,
RPQNMLLLOHGGFCP68DA,14,29.41,共同部份,鋼筋混凝土造,96年2月9日,八層,
RPPOMLRKOHGGFDP76EA,42,91.90,住商用,加強磚造,68年3月6日,二層,一層 二層 騎樓
RPPNMLLLOHGGFCP58DA,14,169.15,店舖、辦公室,鋼筋混凝土造,96年2月9日,八層,一層 二層 三層 陽台 騎樓
RPPNMLLLOHGGFCP58DA,14,29.61,共同部份,鋼筋混凝土造,96年2月9日,地下層,
RPPNMLLLOHGGFCP58DA,14,27.51,共同部份,鋼筋混凝土造,96年2月9日,八層,
RPTNMLMLOHGGFCP09DA,1,167.33,住家用,鋼筋混凝土造,109年1月9日,三層,一層 二層 三層 陽台
RPSNMLOLKHGGFBP68DA,,20.86,共同部份,鋼筋混凝土造,109年12月24日,八層,
RPSNMLOLKHGGFBP68DA,,54.09,集合住宅,鋼筋混凝土造,109年12月24日,八層,七層 陽台
RPSOMLOLKHGGFBP78DA,,20.86,共同部份,鋼筋混凝土造,109年12月24日,八層,
RPSOMLOLKHGGFBP78DA,,54.09,集合住宅,鋼筋混凝土造,109年12月24日,八層,八層 陽台
