鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1100409,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10950000,63796,坡道平面,26.98,1600000,,RPOOMLMKQHGGFDC57CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,22.74,住,,,1100219,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.69,2,2,1,有,無,7200000,69384,坡道平面,26.98,1600000,,RPPOMLMKQHGGFDC67CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,41.39,住,,,1100120,土地1建物1車位2,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,200.52,4,2,2,有,無,12800000,64820,坡道平面,53.96,3300000,,RPQOMLMKQHGGFDC77CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1100104,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.26,3,2,2,有,無,10000000,64975,坡道平面,26.98,1600000,,RPROMLMKQHGGFDC87CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1100104,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10600000,61408,坡道平面,26.98,1600000,,RPSOMLMKQHGGFDC97CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1100106,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.26,3,2,2,有,無,9250000,59174,坡道平面,26.98,1600000,,RPTOMLMKQHGGFDC08CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,35.56,住,,,1091216,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,154.38,3,2,2,有,無,9590000,63501,坡道平面,26.98,1500000,,RPUOMLMKQHGGFDC18CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1091218,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.26,3,2,2,有,無,9340000,59870,坡道平面,26.98,1600000,,RPVOMLMKQHGGFDC28CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1091201,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.26,3,2,2,有,無,9150000,58400,坡道平面,26.98,1600000,,RPWOMLMKQHGGFDC38CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1091201,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.26,3,2,2,有,無,9950000,64588,坡道平面,26.98,1600000,,RPXOMLMKQHGGFDC48CB,萬隆青青二期
七堵區,房地(土地+建物),基隆市七堵區堵南街,26.82,住,,,1091113,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,97.19,2,2,1,有,無,6080000,62558,,0.0,0,,RPOPMLMKQHGGFDC67CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,41.39,住,,,1091021,土地1建物1車位2,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,200.52,4,2,2,有,無,12300000,62773,坡道平面,53.96,3100000,,RPPPMLMKQHGGFDC77CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,27.4,住,,,1090930,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,124.17,2,2,1,有,無,7850000,64307,坡道平面,26.98,1600000,,RPQPMLMKQHGGFDC87CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1090826,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10300000,60044,坡道平面,26.98,1500000,,RPRPMLMKQHGGFDC97CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1090821,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10380000,59907,坡道平面,26.98,1600000,,RPSPMLMKQHGGFDC08CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1090722,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9280000,59855,坡道平面,26.98,1500000,,RPTPMLMKQHGGFDC18CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,41.39,住,,,1090613,土地1建物1車位2,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,200.52,4,2,2,有,無,11800000,58679,坡道平面,53.96,3200000,,RPUPMLMKQHGGFDC28CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1100327,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,11900000,70961,坡道平面,26.98,1500000,,RPVPMLMKQHGGFDC38CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1100310,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.67,4,2,2,有,無,12300000,72943,坡道平面,26.98,1600000,,RPWPMLMKQHGGFDC48CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1090608,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10300000,59361,坡道平面,26.98,1600000,,RPXPMLMKQHGGFDC58CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1090531,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10200000,58679,坡道平面,26.98,1600000,,RPOQMLMKQHGGFDC77CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,41.39,住,,,1090523,土地1建物1車位2,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,200.52,4,2,2,有,無,11500000,56632,坡道平面,53.96,3200000,,RPPQMLMKQHGGFDC87CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1090505,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9260000,59701,坡道平面,26.98,1500000,,RPQQMLMKQHGGFDC97CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1090418,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10100000,57997,坡道平面,26.98,1600000,,RPRQMLMKQHGGFDC08CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,35.56,住,,,1090406,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,154.38,3,2,2,有,無,9130000,59105,坡道平面,26.98,1600000,,RPSQMLMKQHGGFDC18CB,萬隆青青二期
