鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
左營區,房地(土地+建物),高雄市左營區保靖街１１號八樓之５,5.29,商,,,1101227,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800306,52.17,1,1,1,有,有,有,10000,192,,0.0,0,,RPPQMLRJJHHGFEE08CC
楠梓區,建物,高雄市楠梓區德賢路５６９之１號１３樓,0.0,住,,,1101227,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000913,78.11,2,1,1,有,有,有,14000,179,,0.0,0,,RPXQMLRJJHHGFEE88CC
左營區,房地(土地+建物),高雄市左營區保靖街４５號１４樓之１,7.68,商,,,1101224,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031104,90.07,2,1,1,有,有,有,23000,255,,0.0,0,,RPPRMLRJJHHGFEE18CC
鳳山區,建物,高雄市鳳山區東福街３６號２樓,0.0,商,,,1101228,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100624,87.53,2,1,1,有,有,有,18000,206,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPPNMLRJJHHGFGE97CC
鳳山區,建物,高雄市鳳山區文化路４之２號４樓,0.0,住,,,1101229,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740401,82.52,2,2,2,有,有,有,12000,145,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPTNMLRJJHHGFGE38CC
鳳山區,建物,高雄市鳳山區新富路３９９巷３０之３號,0.0,住,,,1101231,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710430,73.65,3,2,2,有,無,有,9000,122,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPUNMLRJJHHGFGE48CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區東福街４２號５樓,8.36,商,,,1101222,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100624,99.53,2,2,1,有,有,有,22000,221,坡道機械,9.78,0,,RPXOMLRJJHHGFGE88CC
鳳山區,建物,高雄市鳳山區中山東路５８巷２２號,0.0,住,,,1101231,土地0建物1車位0,見其他登記事項,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0860825,147.76,2,3,3,有,有,有,20000,135,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPOPMLRJJHHGFGE08CC
鳳山區,建物,高雄市鳳山區八德路１２２號７樓,0.0,住,,,1110105,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830923,149.04000000000002,3,1,2,有,有,有,13500,91,,0.0,0,高雄市政府包租代管計畫,RPPQMLRJJHHGFGE28CC
大社區,土地,保甲段951地號,7637.71,農,,,1101227,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,122200,16,,0.0,0,,RPROMLRJJHHGFIE48CC
